CAS,Chemical Name,value_ext,unit_ext,type_ext,remark_ext,item number_ext,listedunder_ext
7440-29-1,thorium-232,0.1,Bq/L,MAC,NATURAL RADIONUCLIDES,1.10,
7440-61-1,uranium-238,4.0,Bq/L,MAC,NATURAL RADIONUCLIDES,1.14,
10028-17-8,tritium,7000.0,Bq/L,MAC,,59.01,
10043-49-9,gold-198,90.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.21,
10045-97-3,cesium-137,10.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.15,
10098-91-6,yttrium-90,30.0,Bq/L,MAC,,61.01,
10098-97-2,strontium-90,5.0,Bq/L,MAC,,51.01,
10198-40-0,cobalt-60,2.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.19,
13233-32-4,radium-224,2.0,Bq/L,MAC,NATURAL RADIONUCLIDES,1.05,
13966-02-4,beryllium-7,4000.0,Bq/L,MAC,NATURAL RADIONUCLIDES,1.01,
13966-05-7,calcium-45,200.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.07,
13966-29-5,uranium-234,4.0,Bq/L,MAC,NATURAL RADIONUCLIDES,1.12,
13966-31-9,manganese-54,200.0,Bq/L,MAC,,28.01,
13966-32-0,sodium-22,50.0,Bq/L,MAC,,48.01,
13967-48-1,ruthenium-106,10.0,Bq/L,MAC,,43.01,
13967-70-9,cesium-134,7.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.13,
13967-71-0,zirconium-95,100.0,Bq/L,MAC,,64.01,
13967-73-2,strontium-85,300.0,Bq/L,MAC,,49.01,
13967-74-3,cerium-141,100.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.10,
13967-76-5,niobium-95,200.0,Bq/L,MAC,,33.01,
13968-53-1,ruthenium-103,100.0,Bq/L,MAC,,42.01,
13968-59-7,neptunium-239,100.0,Bq/L,MAC,,32.01,
13981-16-3,plutonium-238,0.3,Bq/L,MAC,,35.01,
13981-38-9,cobalt-58,20.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.18,
13981-50-5,cobalt-57,40.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.17,
13981-51-6,mercury-197,400.0,Bq/L,MAC,,29.01,
13981-52-7,polonium-210,0.2,Bq/L,MAC,NATURAL RADIONUCLIDES,1.04,
13982-39-3,zinc-65,,,,,,
13982-63-3,radium-226,0.6,Bq/L,MAC,NATURAL RADIONUCLIDES,1.06,
13982-78-0,mercury-203,80.0,Bq/L,MAC,,30.01,
14119-09-6,gallium-67,500.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.20,
14119-15-4,molybdenum-99,,,,,,
14119-32-5,plutonium-241,,,,,,
14119-33-6,plutonium-240,0.2,Bq/L,MAC,,37.01,
14133-76-7,technetium-99,,,,,,
14158-27-1,strontium-89,40.0,Bq/L,MAC,,50.01,
14158-31-7,iodine-125,10.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.23,
14234-24-3,yttrium-91,30.0,Bq/L,MAC,,62.01,
14234-28-7,tellurium-132,40.0,Bq/L,MAC,,57.01,
14234-29-8,cesium-136,50.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.14,
14234-35-6,antimony-125,100.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.04,
14255-04-0,lead-210,0.1,Bq/L,MAC,NATURAL RADIONUCLIDES,1.03,
14265-71-5,selenium-75,70.0,Bq/L,MAC,,44.01,
14269-63-7,thorium-230,0.4,Bq/L,MAC,NATURAL RADIONUCLIDES,1.09,
14269-78-4,ytterbium-169,100.0,Bq/L,MAC,,60.01,
14274-82-9,thorium-228,2.0,Bq/L,MAC,NATURAL RADIONUCLIDES,1.08,
14331-79-4,bismuth-210,,,,,,
14374-79-9,antimony-122,,,,,,
14391-99-2,calcium-47,,,,,,
14392-02-0,chromium-51,3000.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.16,
14596-10-2,americium-241,0.2,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.01,
14596-12-4,iron-59,40.0,Bq/L,MAC,,27.01,
14596-37-3,phosphorus-32,50.0,Bq/L,MAC,,34.01,
14681-59-5,iron-55,300.0,Bq/L,MAC,,26.01,
14683-10-4,antimony-124,40.0,Bq/L,MAC,ARTIFICIAL RADIONUCLIDES,2.03,
